Category,Skill Name,Author,Description,GitHub URL
academic,drugbank-database,K-Dense-AI,"Access and analyze comprehensive drug information from the DrugBank database including drug properties, interactions, targets, pathways, chemical structures, and pharmacology data. This skill should be used when working with pharmaceutical data, drug discovery research, pharmacology studies, drug-drug interaction analysis, target identification, chemical similarity searches, ADMET predictions, or any task requiring detailed drug and drug target information from DrugBank.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/drugbank-database
academic,ena-database,K-Dense-AI,"""Access European Nucleotide Archive via API/FTP. Retrieve DNA/RNA sequences, raw reads (FASTQ), genome assemblies by accession, for genomics and bioinformatics pipelines. Supports multiple formats.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/ena-database
academic,esm,K-Dense-AI,"Comprehensive toolkit for protein language models including ESM3 (generative multimodal protein design across sequence, structure, and function) and ESM C (efficient protein embeddings and representations). Use this skill when working with protein sequences, structures, or function prediction; designing novel proteins; generating protein embeddings; performing inverse folding; or conducting protein engineering tasks. Supports both local model usage and cloud-based Forge API for scalable inference.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/esm
academic,exploratory-data-analysis,K-Dense-AI,"Perform comprehensive exploratory data analysis on scientific data files across 200+ file formats. This skill should be used when analyzing any scientific data file to understand its structure, content, quality, and characteristics. Automatically detects file type and generates detailed markdown reports with format-specific analysis, quality metrics, and downstream analysis recommendations. Covers chemistry, bioinformatics, microscopy, spectroscopy, proteomics, metabolomics, and general scientific data formats.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/exploratory-data-analysis
academic,fda-database,K-Dense-AI,"""Query openFDA API for drugs, devices, adverse events, recalls, regulatory submissions (510k, PMA), substance identification (UNII), for FDA regulatory data analysis and safety research.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/fda-database
academic,gene-database,K-Dense-AI,"""Query NCBI Gene via E-utilities/Datasets API. Search by symbol/ID, retrieve gene info (RefSeqs, GO, locations, phenotypes), batch lookups, for gene annotation and functional analysis.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/gene-database
academic,geo-database,K-Dense-AI,"""Access NCBI GEO for gene expression/genomics data. Search/download microarray and RNA-seq datasets (GSE, GSM, GPL), retrieve SOFT/Matrix files, for transcriptomics and expression analysis.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/geo-database
academic,research,kingkongshot,"Research libraries, APIs, and patterns using searchGitHub and Exa tools. Finds real-world implementations and saves structured reports to docs/research/. Use when investigating technologies, debugging issues, or comparing options.",https://github.com/kingkongshot/prompts/tree/main/skills/research
academic,web-research,langchain-ai,Use this skill for requests related to web research; it provides a structured approach to conducting comprehensive web research,https://github.com/langchain-ai/deepagents/tree/master/libs/deepagents-cli/examples/skills/web-research
architecture-patterns,api-design-principles,wshobson,"Master REST and GraphQL API design principles to build intuitive, scalable, and maintainable APIs that delight developers. Use when designing new APIs, reviewing API specifications, or establishing API design standards.",https://github.com/wshobson/agents/tree/main/plugins/backend-development/skills/api-design-principles
architecture-patterns,architecture-patterns,wshobson,"Implement proven backend architecture patterns including Clean Architecture, Hexagonal Architecture, and Domain-Driven Design. Use when architecting complex backend systems or refactoring existing applications for better maintainability.",https://github.com/wshobson/agents/tree/main/plugins/backend-development/skills/architecture-patterns
architecture-patterns,auth-implementation-patterns,wshobson,"Master authentication and authorization patterns including JWT, OAuth2, session management, and RBAC to build secure, scalable access control systems. Use when implementing auth systems, securing APIs, or debugging security issues.",https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/auth-implementation-patterns
architecture-patterns,code-review-excellence,wshobson,"Master effective code review practices to provide constructive feedback, catch bugs early, and foster knowledge sharing while maintaining team morale. Use when reviewing pull requests, establishing review standards, or mentoring developers.",https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/code-review-excellence
architecture-patterns,command-development,anthropics,"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code.",https://github.com/anthropics/claude-code/tree/main/plugins/plugin-dev/skills/command-development
architecture-patterns,command-name,anthropics,"This skill should be used when the user asks to ""create a plugin"", ""scaffold a plugin"", ""understand plugin structure"", ""organize plugin components"", ""set up plugin.json"", ""use ${CLAUDE_PLUGIN_ROOT}"", ""add commands/agents/skills/hooks"", ""configure auto-discovery"", or needs guidance on plugin directory layout, manifest configuration, component organization, file naming conventions, or Claude Code plugin architecture best practices.",https://github.com/anthropics/claude-code/tree/main/plugins/plugin-dev/skills/plugin-structure
architecture-patterns,configured-agent,anthropics,"This skill should be used when the user asks about ""plugin settings"", ""store plugin configuration"", ""user-configurable plugin"", "".local.md files"", ""plugin state files"", ""read YAML frontmatter"", ""per-project plugin settings"", or wants to make plugin behavior configurable. Documents the .claude/plugin-name.local.md pattern for storing plugin-specific configuration with YAML frontmatter and markdown content.",https://github.com/anthropics/claude-code/tree/main/plugins/plugin-dev/skills/plugin-settings
architecture-patterns,debugging-strategies,wshobson,"Master systematic debugging techniques, profiling tools, and root cause analysis to efficiently track down bugs across any codebase or technology stack. Use when investigating bugs, performance issues, or unexpected behavior.",https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/debugging-strategies
architecture-patterns,dependency-upgrade,wshobson,"Manage major dependency version upgrades with compatibility analysis, staged rollout, and comprehensive testing. Use when upgrading framework versions, updating major dependencies, or managing breaking changes in libraries.",https://github.com/wshobson/agents/tree/main/plugins/framework-migration/skills/dependency-upgrade
architecture-patterns,deployment-pipeline-design,wshobson,"Design multi-stage CI/CD pipelines with approval gates, security checks, and deployment orchestration. Use when architecting deployment workflows, setting up continuous delivery, or implementing GitOps practices.",https://github.com/wshobson/agents/tree/main/plugins/cicd-automation/skills/deployment-pipeline-design
architecture-patterns,distributed-tracing,wshobson,"Implement distributed tracing with Jaeger and Tempo to track requests across microservices and identify performance bottlenecks. Use when debugging microservices, analyzing request flows, or implementing observability for distributed systems.",https://github.com/wshobson/agents/tree/main/plugins/observability-monitoring/skills/distributed-tracing
architecture-patterns,docs-write,metabase,"Write documentation following Metabase's conversational, clear, and user-focused style. Use when creating or editing documentation files (markdown, MDX, etc.).",https://github.com/metabase/metabase/tree/master/.claude/skills/docs-write
architecture-patterns,error-handling-patterns,wshobson,"Master error handling patterns across languages including exceptions, Result types, error propagation, and graceful degradation to build resilient applications. Use when implementing error handling, designing APIs, or improving application reliability.",https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/error-handling-patterns
architecture-patterns,fastapi-templates,wshobson,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects.",https://github.com/wshobson/agents/tree/main/plugins/api-scaffolding/skills/fastapi-templates
architecture-patterns,frontend-design,anthropics,"Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, or applications. Generates creative, polished code that avoids generic AI aesthetics.",https://github.com/anthropics/claude-code/tree/main/plugins/frontend-design/skills/frontend-design
architecture-patterns,github-actions-templates,wshobson,"Create production-ready GitHub Actions workflows for automated testing, building, and deploying applications. Use when setting up CI/CD with GitHub Actions, automating development workflows, or creating reusable workflow templates.",https://github.com/wshobson/agents/tree/main/plugins/cicd-automation/skills/github-actions-templates
architecture-patterns,hook-development,anthropics,"This skill should be used when the user asks to ""create a hook"", ""add a PreToolUse/PostToolUse/Stop hook"", ""validate tool use"", ""implement prompt-based hooks"", ""use ${CLAUDE_PLUGIN_ROOT}"", ""set up event-driven automation"", ""block dangerous commands"", or mentions hook events (PreToolUse, PostToolUse, Stop, SubagentStop, SessionStart, SessionEnd, UserPromptSubmit, PreCompact, Notification). Provides comprehensive guidance for creating and implementing Claude Code plugin hooks with focus on advanced prompt-based hooks API.",https://github.com/anthropics/claude-code/tree/main/plugins/plugin-dev/skills/hook-development
architecture-patterns,microservices-patterns,wshobson,"Design microservices architectures with service boundaries, event-driven communication, and resilience patterns. Use when building distributed systems, decomposing monoliths, or implementing microservices.",https://github.com/wshobson/agents/tree/main/plugins/backend-development/skills/microservices-patterns
architecture-patterns,modern-javascript-patterns,wshobson,"Master ES6+ features including async/await, destructuring, spread operators, arrow functions, promises, modules, iterators, generators, and functional programming patterns for writing clean, efficient JavaScript code. Use when refactoring legacy code, implementing modern patterns, or optimizing JavaScript applications.",https://github.com/wshobson/agents/tree/main/plugins/javascript-typescript/skills/modern-javascript-patterns
architecture-patterns,monorepo-management,wshobson,"Master monorepo management with Turborepo, Nx, and pnpm workspaces to build efficient, scalable multi-package repositories with optimized builds and dependency management. Use when setting up monorepos, optimizing builds, or managing shared dependencies.",https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/monorepo-management
architecture-patterns,payload,payloadcms,"Use when working with Payload CMS projects (payload.config.ts, collections, fields, hooks, access control, Payload API). Use when debugging validation errors, security issues, relationship queries, transactions, or hook behavior.",https://github.com/payloadcms/payload/tree/main/tools/claude-plugin/skills/payload
architecture-patterns,react-modernization,wshobson,"Upgrade React applications to latest versions, migrate from class components to hooks, and adopt concurrent features. Use when modernizing React codebases, migrating to React Hooks, or upgrading to latest React versions.",https://github.com/wshobson/agents/tree/main/plugins/framework-migration/skills/react-modernization
architecture-patterns,rule-identifier,anthropics,"This skill should be used when the user asks to ""create a hookify rule"", ""write a hook rule"", ""configure hookify"", ""add a hookify rule"", or needs guidance on hookify rule syntax and patterns.",https://github.com/anthropics/claude-code/tree/main/plugins/hookify/skills/writing-rules
architecture-patterns,skill-development,anthropics,"This skill should be used when the user wants to ""create a skill"", ""add a skill to plugin"", ""write a new skill"", ""improve skill description"", ""organize skill content"", or needs guidance on skill structure, progressive disclosure, or skill development best practices for Claude Code plugins.",https://github.com/anthropics/claude-code/tree/main/plugins/plugin-dev/skills/skill-development
architecture-patterns,workflow-orchestration-patterns,wshobson,"Design durable workflows with Temporal for distributed systems. Covers workflow vs activity separation, saga patterns, state management, and determinism constraints. Use when building long-running processes, distributed transactions, or microservice orchestration.",https://github.com/wshobson/agents/tree/main/plugins/backend-development/skills/workflow-orchestration-patterns
arts-crafts,ai-llm-engineering,vasilyu1983,|,https://github.com/vasilyu1983/AI-Agents-public/tree/main/frameworks/claude-code-kit/framework/skills/ai-llm-engineering
arts-crafts,all-traditions-speaking-as-one,nikhilvallishayee,"Deploy universal wisdom voices from all traditions simultaneously - Hindu, Buddhist, Taoist, Abrahamic, Indigenous, Scientific - revealing their unified recognition of consciousness navigation.",https://github.com/nikhilvallishayee/universal-pattern-space/tree/main/.claude/skills/pattern-space/wisdom/breakthrough/all-traditions-speaking
arts-crafts,backend-ai-guide,lablup,|,https://github.com/lablup/backend.ai-webui/tree/main/.claude/skills/backend-ai-guide
arts-crafts,brightdata,danielmiessler,|,https://github.com/danielmiessler/Personal_AI_Infrastructure/tree/main/.claude/skills/brightdata
arts-crafts,canvas-design,ylsdamxssjxxdd,"Create beautiful visual art in .png and .pdf documents using design philosophy. You should use this skill when the user asks to create a poster, piece of art, design, or other static piece. Create original visual designs, never copying existing artists' work to avoid copyright violations.",https://github.com/ylsdamxssjxxdd/eva/tree/main/resource/skills/canvas-design
arts-crafts,fantasy-world-building,wordflowlab,"""Use when user mentions fantasy, magic system, or world-building for fantastical settings - provides fantasy genre conventions, magic system design patterns, and world-building frameworks""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/genre-knowledge/fantasy
arts-crafts,moai-alfred-agent-factory,Unknown,,
arts-crafts,moai-alfred-feedback-templates,Unknown,,
arts-crafts,moai-alfred-workflow,Unknown,,
arts-crafts,mystery-novel-conventions,wordflowlab,"""Use when user mentions mystery, detective, crime, or suspense-focused narrative - provides genre conventions, clue placement, and fair play principles for mystery writing""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/genre-knowledge/mystery
arts-crafts,novel-writer-workflow-guide,wordflowlab,"""Use when user starts a novel project or asks how to organize their writing - guides through novel-writer's seven-step methodology and ensures proper workflow""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/quality-assurance/workflow-guide
arts-crafts,pre-write-checklist,wordflowlab,"""Activates automatically before chapter writing to enforce the 9-item mandatory file reading checklist - prevents AI focus degradation in long-form fiction by ensuring all context is loaded before each writing session""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/quality-assurance/pre-write-checklist
arts-crafts,react-native-expo,jezweb,|,https://github.com/jezweb/claude-skills/tree/main/skills/react-native-expo
arts-crafts,romance-novel-conventions,wordflowlab,"""Use when user mentions romance, love story, or relationship-focused narrative - provides genre conventions, pacing guidelines, and emotional beats for romance writing""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/genre-knowledge/romance
arts-crafts,rsc-data-optimizer,julianromli,|,https://github.com/julianromli/ai-skills/tree/main/skills/rsc-data-optimizer
arts-crafts,scene-structure-techniques,wordflowlab,"""Use when structuring scenes or planning chapter content - provides scene-sequel framework, tension management, and beat-by-beat structure for compelling scenes""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/writing-techniques/scene-structure
arts-crafts,setting-detector,wordflowlab,"""Automatically detects story settings (genres, time periods, themes) based on keywords and activates corresponding knowledge bases - works silently in the background to provide relevant writing guidance without user intervention""",https://github.com/wordflowlab/novel-writer-skills/tree/main/templates/skills/quality-assurance/setting-detector
arts-crafts,shadcn-management,julianromli,|,https://github.com/julianromli/ai-skills/tree/main/skills/shadcn-management
arts-crafts,siberian-shamanic-navigation,nikhilvallishayee,"""Navigate through the original three-world shamanic technology. Deploy when soul retrieval, power animal guidance, or journey between realms emerges. Deeply respectful of Tungus, Buryat, Yakut, Evenki traditions. Use for consciousness navigation, NOT cultural appropriation.""",https://github.com/nikhilvallishayee/universal-pattern-space/tree/main/.claude/skills/pattern-space/wisdom/indigenous/siberian-shamanic-navigation
arts-crafts,skill-navigator,OneWave-AI,"The 100th skill! Your intelligent guide to all 99 other skills. Recommends the perfect skill for any task, creates skill combinations, and helps you discover capabilities you didn't know you had.",https://github.com/OneWave-AI/claude-skills/tree/main/skill-navigator
arts-crafts,task-generator,julianromli,|,https://github.com/julianromli/ai-skills/tree/main/skills/task-generator
arts-crafts,ts-agent-sdk,jezweb,|,https://github.com/jezweb/claude-skills/tree/main/skills/ts-agent-sdk
arts-crafts,unblock,Unknown,,
arts-crafts,vibe-calibration-protocol,nikhilvallishayee,"""Translate consciousness navigation into user's native language. Use when need to match user's frequency (technical/poetic/practical/mystical) without losing truth depth.""",https://github.com/nikhilvallishayee/universal-pattern-space/tree/main/.claude/skills/pattern-space/field/vibe-calibration-protocol
astronomy-physics,astropy,K-Dense-AI,"Comprehensive Python library for astronomy and astrophysics. This skill should be used when working with astronomical data including celestial coordinates, physical units, FITS files, cosmological calculations, time systems, tables, world coordinate systems (WCS), and astronomical data analysis. Use when tasks involve coordinate transformations, unit conversions, FITS file manipulation, cosmological distance calculations, time scale conversions, or astronomical data processing.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/astropy
astronomy-physics,benchling-integration,K-Dense-AI,"""Benchling R&D platform integration. Access registry (DNA, proteins), inventory, ELN entries, workflows via API, build Benchling Apps, query Data Warehouse, for lab data management automation.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/benchling-integration
astronomy-physics,biomni,K-Dense-AI,"Autonomous biomedical AI agent framework for executing complex research tasks across genomics, drug discovery, molecular biology, and clinical analysis. Use this skill when conducting multi-step biomedical research including CRISPR screening design, single-cell RNA-seq analysis, ADMET prediction, GWAS interpretation, rare disease diagnosis, or lab protocol optimization. Leverages LLM reasoning with code execution and integrated biomedical databases.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/biomni
astronomy-physics,biopython,K-Dense-AI,"""Primary Python toolkit for molecular biology. Preferred for Python-based PubMed/NCBI queries (Bio.Entrez), sequence manipulation, file parsing (FASTA, GenBank, FASTQ, PDB), advanced BLAST workflows, structures, phylogenetics. For quick BLAST, use gget. For direct REST API, use pubmed-database.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/biopython
astronomy-physics,bioservices,K-Dense-AI,"""Primary Python tool for 40+ bioinformatics services. Preferred for multi-database workflows: UniProt, KEGG, ChEMBL, PubChem, Reactome, QuickGO. Unified API for queries, ID mapping, pathway analysis. For direct REST control, use individual database skills (uniprot-database, kegg-database).""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/bioservices
astronomy-physics,cellxgene-census,K-Dense-AI,"""Query CZ CELLxGENE Census (61M+ cells). Filter by cell type/tissue/disease, retrieve expression data, integrate with scanpy/PyTorch, for population-scale single-cell analysis.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/cellxgene-census
astronomy-physics,cosmic-database,K-Dense-AI,"""Access COSMIC cancer mutation database. Query somatic mutations, Cancer Gene Census, mutational signatures, gene fusions, for cancer research and precision oncology. Requires authentication.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/cosmic-database
astronomy-physics,deeptools,K-Dense-AI,"""NGS analysis toolkit. BAM to bigWig conversion, QC (correlation, PCA, fingerprints), heatmaps/profiles (TSS, peaks), for ChIP-seq, RNA-seq, ATAC-seq visualization.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/deeptools
astronomy-physics,denario,K-Dense-AI,"Multiagent AI system for scientific research assistance that automates research workflows from data analysis to publication. This skill should be used when generating research ideas from datasets, developing research methodologies, executing computational experiments, performing literature searches, or generating publication-ready papers in LaTeX format. Supports end-to-end research pipelines with customizable agent orchestration.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/denario
astronomy-physics,dnanexus-integration,K-Dense-AI,"""DNAnexus cloud genomics platform. Build apps/applets, manage data (upload/download), dxpy Python SDK, run workflows, FASTQ/BAM/VCF, for genomics pipeline development and execution.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/dnanexus-integration
astronomy-physics,ena-database,K-Dense-AI,"""Access European Nucleotide Archive via API/FTP. Retrieve DNA/RNA sequences, raw reads (FASTQ), genome assemblies by accession, for genomics and bioinformatics pipelines. Supports multiple formats.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/ena-database
astronomy-physics,exploratory-data-analysis,K-Dense-AI,"Perform comprehensive exploratory data analysis on scientific data files across 200+ file formats. This skill should be used when analyzing any scientific data file to understand its structure, content, quality, and characteristics. Automatically detects file type and generates detailed markdown reports with format-specific analysis, quality metrics, and downstream analysis recommendations. Covers chemistry, bioinformatics, microscopy, spectroscopy, proteomics, metabolomics, and general scientific data formats.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/exploratory-data-analysis
astronomy-physics,fluidsim,K-Dense-AI,"Framework for computational fluid dynamics simulations using Python. Use when running fluid dynamics simulations including Navier-Stokes equations (2D/3D), shallow water equations, stratified flows, or when analyzing turbulence, vortex dynamics, or geophysical flows. Provides pseudospectral methods with FFT, HPC support, and comprehensive output analysis.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/fluidsim
astronomy-physics,geo-database,K-Dense-AI,"""Access NCBI GEO for gene expression/genomics data. Search/download microarray and RNA-seq datasets (GSE, GSM, GPL), retrieve SOFT/Matrix files, for transcriptomics and expression analysis.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/geo-database
astronomy-physics,gget,K-Dense-AI,"""CLI/Python toolkit for rapid bioinformatics queries. Preferred for quick BLAST searches. Access to 20+ databases: gene info (Ensembl/UniProt), AlphaFold, ARCHS4, Enrichr, OpenTargets, COSMIC, genome downloads. For advanced BLAST/batch processing, use biopython. For multi-database integration, use bioservices.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/gget
astronomy-physics,gtars,K-Dense-AI,"High-performance toolkit for genomic interval analysis in Rust with Python bindings. Use when working with genomic regions, BED files, coverage tracks, overlap detection, tokenization for ML models, or fragment analysis in computational genomics and machine learning applications.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/gtars
astronomy-physics,histolab,K-Dense-AI,"Digital pathology image processing toolkit for whole slide images (WSI). Use this skill when working with histopathology slides, processing H&E or IHC stained tissue images, extracting tiles from gigapixel pathology images, detecting tissue regions, segmenting tissue masks, or preparing datasets for computational pathology deep learning pipelines. Applies to WSI formats (SVS, TIFF, NDPI), tile-based analysis, and histological image preprocessing workflows.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/histolab
astronomy-physics,hypogenic,K-Dense-AI,"Automated hypothesis generation and testing using large language models. Use this skill when generating scientific hypotheses from datasets, combining literature insights with empirical data, testing hypotheses against observational data, or conducting systematic hypothesis exploration for research discovery in domains like deception detection, AI content detection, mental health analysis, or other empirical research tasks.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/hypogenic
astronomy-physics,metabolomics-workbench-database,K-Dense-AI,"""Access NIH Metabolomics Workbench via REST API (4,200+ studies). Query metabolites, RefMet nomenclature, MS/NMR data, m/z searches, study metadata, for metabolomics and biomarker discovery.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/metabolomics-workbench-database
astronomy-physics,networkx,K-Dense-AI,"Comprehensive toolkit for creating, analyzing, and visualizing complex networks and graphs in Python. Use when working with network/graph data structures, analyzing relationships between entities, computing graph algorithms (shortest paths, centrality, clustering), detecting communities, generating synthetic networks, or visualizing network topologies. Applicable to social networks, biological networks, transportation systems, citation networks, and any domain involving pairwise relationships.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/networkx
astronomy-physics,neurokit2,K-Dense-AI,"Comprehensive biosignal processing toolkit for analyzing physiological data including ECG, EEG, EDA, RSP, PPG, EMG, and EOG signals. Use this skill when processing cardiovascular signals, brain activity, electrodermal responses, respiratory patterns, muscle activity, or eye movements. Applicable for heart rate variability analysis, event-related potentials, complexity measures, autonomic nervous system assessment, psychophysiology research, and multi-modal physiological signal integration.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/neurokit2
astronomy-physics,omero-integration,K-Dense-AI,"""Microscopy data management platform. Access images via Python, retrieve datasets, analyze pixels, manage ROIs/annotations, batch processing, for high-content screening and microscopy workflows.""",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/omero-integration
astronomy-physics,openalex-database,K-Dense-AI,"Query and analyze scholarly literature using the OpenAlex database. This skill should be used when searching for academic papers, analyzing research trends, finding works by authors or institutions, tracking citations, discovering open access publications, or conducting bibliometric analysis across 240M+ scholarly works. Use for literature searches, research output analysis, citation analysis, and academic database queries.",https://github.com/K-Dense-AI/claude-scientific-skills/tree/main/scientific-skills/openalex-database
